user,tweet
@Hiervansson,Me acabas de recordar este genial sketch de los Monty Python.
@DataScienceDojo,Python project ideas
@Milanes_guisado,Recopilación de tutoriales para las herramientas que en mi opinión son principales para trabajar con datos: Excel (https://w3schools.com/EXCEL/index.php?fbclid=IwAR2fjeEIVfHi3VgcS3Pl3IIoSzBuI9qLrMxADtwM8Bd6weXvNUCAa1kOqik…) Python (https://docs.python.org/3/tutorial/?fbclid=IwAR2p41ipI1vdjORD2KOTHjUGkCrdIi6JqYQE-Ayotk56b-cWq1mxf9fkXc8…) R (https://w3schools.com/r/?fbclid=IwAR2__IYsvz8z6TkyMpg2lL8Pfwee9detupA-xPMQ-bwRV7wKZSJt4PCRd2Y…) SQL (https://w3schools.com/sql/?fbclid=IwAR0oVknYnP4cA3Ox_d9uAzi2lFBulgfMw4NyjRcdJtKc5ygF0eRLTPRMpwY…) Continúa ...
@drowzydruzy,i love python fire emblem
@XmaSecundaria,"Lo del Departament de Educació con la ola de calor es ya de esperpento delirium tremens, cuyo único referente es la farsa sobre la cual flota. El farsante sabe que lo es, el esperpento no. Lástima de Valle-Inclán o los Monty Python, como mínimo nos reiríamos."
@CobeClub,No fim era um sonho! #bolhadev #html #python #javascript
@_barbarroja,Aumentó la pobreza y subrayado ahora tiene un segmento de gastronomía. Chupala Monty Python.
@feregri_no,La supuesta velocidad de algunos lenguajes a veces se ve completamente contrarrestada cuando la gente no los usa de forma correcta. Puede ser más fácil implementar un buen algoritmo rápido en Python que medio implementar erróneamente uno igual en C por falta de conocimiento.
@AlexRomeroSEO,"Os comparto un script en Python para extraer en bulk ideas de contenido usando las People Also Ask, datos de GSC y datos on page de las URLs con las que identificar buenas oportunidades de optimización El resultado es este de la imagen"
@nabellalucia,3 meses me tomo estudiar y aprender lo básico en programación. 3 meses me tomo conseguir mi primer mini-proyecto en Python. Así que no me digas que no puedes aprender cuando solo necesitas es enfocarte y estudiar si eso es lo que quieres.
@_nasch_,"Se viene video técnico, de cosas que debes automatizar en python"
@srgarcia,"Cuando yo era niño, si te contestaban con una cita de Monty Python no bloqueábamos como unos lloricas. GENERACIÓN DE CRISTAL."
@joseojedarojas,Creamos un #modulo con las #funciones principales para tratar los datos con #Python -> https://youtu.be/lYXqlkKMz7E #programando con #josecodetech #programacion #developer #spyder #anaconda #visualstudio #code #codigo #cienciaDatos #dataScience
@itsafiz,@streamlit Demo App: #DataScience #Python #MachineLearning
@isocialwebseo,"¿Cómo crear contenidos con IA gracias a OpenAI y Python para 10k páginas por 50$? Excelente hilo fácil, rápido y para toda la familia"
@PyLatam,¿Quieres llegar a las personas desarrolladoras de toda Latinoamérica? ¡Únete como patrocinador de #PyConLatam22! Tendremos Stands virtuales en los cuales podrás interactuar con toda la comunidad. Información sobre patrocinios https://bit.ly/3zzKtPYPatrocinioPyLatam… #Python #PyCon #Latam
@dat4mente,Tutorial para aprender a manejar sin problemas directorios en #Python gracias al módulo pathlib de la librería estándar: http://ow.ly/479P50H3uJ1
@jtavarezr,Vamos a dar 5mil becas en programación web y Python. Procedimiento de convocatoria estándar y competitivo. Abierto e inclusivo. Estén atentos @Liberta_Digital #TalentoDigital
@dansar39,11 #MachineLearning Métodos que debe #AI #ML #DataScientists #innovation #CodeNewbies #Tech #deeplearning #CyberSecurity #nocode #Python #Coding #javascript #rstats #100DaysOfCode #MLOps #programming #SQL #MLOps #DataScience #DataScientist
@MicroPython_,La programación de Python implica menos líneas de código en comparación con otros lenguajes para programar. ¿A qué esperas? Aprende a programar en Python desde cero https://cursopython.es
@programaarduino,"""Aprende a programar en Python desde cero"". Python, un lenguaje moderno, versátil y sencillo. Curso en línea con el seguimiento personalizado de un profesor https://cursopython.es"
@CeutaOpenFuture,"Prepárate para el II #HackatonCOF con las charlas mensuales que estaremos celebrando en #ElÁngulo El 22 de junio, Diego Pascual hará una introducción a API Rest con Python Flask ¿No te lo quieres perder?Entonces, ¡apúntate ya! https://ceuta.openfuture.org/eventos/hackatoncof-introduccion-a-api-rest-con-phyton-flask/…"
@joseojedarojas,"Mi curso de #cienciaDeDatos con #python, #gratis por tiempo limitado, cuando pase las 2 horas de contenido sera de pago, suscribete antes de que ocurra -> https://udemy.com/course/ciencia-de-datos-con-python/… #programando con #josecodetech #programacion #developer #spyder #anaconda #cienciaDatos #dataScience"
@AntonioPantojaC,"Libro de #Python en línea, ideal para leer en cualquier lugar. De básico a avanzado https://ellibrodepython.com"
@dansar39,10 mejores #habilidades de 2025 @ingliguori #ArtificialIntelligence #AI #ML #MachineLearning #DataScientists #CodeNewbies #deeplearning #CyberSecurity #nocode #Python #Coding #javascript #rstats #100DaysOfCode #MLOps #programming #SQL #MLOps #DataScientist #DataScience
@Python_desde_0,"Estos son los perfiles más demandados en el campo de la programación. Python, el lenguaje más popular"
@Gsnchez,Qué bueno esto de @papa2fire . Os recuerdo que tengo un artículo donde vemos algunos aspectos de matemática financiera en Python como el sistema de amortización francés o la TIR no periódica.. https://gsnchez.com/blog/article/Matematica-financiera-en-python…
@AlexRomeroSEO,No es necesario conocer código para usarlo. Toda la información de uso y acceso a Google Colab en el post: https://seoalex.es/blog/obtener-ideas-de-contenido-en-bulk-para-seo/… #seo #Python
@4geeksacademyve,La nueva beta de #Python 3.11 arrasa en velocidad: los test muestran que es hasta un 60% más rápida que Python 3.10
@JorgeGarcia_Dev,"He terminado un nuevo proyecto, un “Acortador URL” desarrollado con Flask, MySQL, HTML, Bootstrap y JavaScript. Ya en mi GitHub #Python #Flask #MySQL"
@tycgis,Este curso dotará a los alumnos de una base sólida de Python para el tratamiento de datos vectoriales y ráster en QGIS. Web del curso: https://bit.ly/Curso_PyQGIS Online 28 de junio 80 horas Descuentos https://bit.ly/Form_PyQGIS #python #QGIS #PyQGIS #cursos
@PPmerino,"Hoy hay más de 1,400 estudiantes entre pensamiento computacional, html, bases de datos, python y java... Pronto tendremos a los primeros egresados del tramo completo de cursos Mañana inician inscripciones para el primer curso: pensamiento computacional ;-)"
@TheDojoMX,"En este repositorio podrás encontrar el equivalente a los Ruby Koans, pero para Python: Los Python Koans. Una guía interactiva para aprender los básicos de Python usando tests."
@arturo_vieiros,Probado el invento de este crack @joserGrisSEO y gracias al video que te muestra @MiguelCidrex https://youtube.com/watch?v=5ONw7ZEoul8&t=401s… Te queda todo clarito. Gracias compartir este Colab en #Python TOP
@JJRuizEmpresa,#django en 5 minutos. Rápido overview del #framework #mtv para el desarrollo de aplicaciones web con #python: https://youtu.be/srkMntDfil4
@_Raspberry_Pi_,"""Micropython: Python para programar microcontroladores y sistemas embebidos"". Curso tutorizado y online de Programación MicroPython en el Campus Tecnológico MicroPython Más información: https://cursomicropython.es"
@macagua,He terminado mis contribuciones a @Odoo para #Odoo13 que he estado realizado durante la pandemia del #Covid_19 muy satisfecho de este logro para la comunidad de #hablahispana y #opensource en #Python #odoo #l10n #Spanish @PythonVE
@dansar39,¿Cuáles son las #caras de #Blockchain ? @btacertified #Fintech #ETH #cryptocurrency #Web3 #Innovation #Analytics #technology #Programming #coding #Digital #AI #Python #DataScience #Bigdata #cloud #RStats #Fintech #bot #IoT #TensorFlow #womenintech #100DaysOfCode #Flutter #twitme
@jbetosalinas,Semana de hackweek en mi equipo. Jugare con algunas ideas para un servidor de @GraphQL hecho en @golang . Hace años colabore con @HyndmanAndrew en un proyecto similar pero lo hicimos en #Python . Vamos a ver que aprendemos. Aqui les paso unos modulos que estoy utilizando.
@IoT_IIoT,"¿Estás preparad@ para el mundo de hoy? Electrónica Digital, Robótica, Comunicaciones, Python, Impresión 3D, Internet de las Cosas... Cursos tutorizados y en línea en el Campus Tecnológico https://campustecnologico.es"
@JPierreDev,"Feliz de haber completado con éxito esta certificación, dictada por @CognitiveClass , gracias por la oportunidad de seguir aprendiendo #DataScience #Python #IBM https://credly.com/badges/b71b796f-ad75-492b-ab39-ed308bfed0ae/public_url…"
@CloudDoor1,#clouddoor La IA de GitHub Copilot ya escribe el 35% de código de lenguajes como Java o Python. Y llegará muy pronto a todo el mundo http://dlvr.it/SS4Kqy
@PythonSul,Está aberto o envio de palestras para a Python Sul 2022! https://pythonsul.dev @ Jaraguá do Sul
@BigData_Python,Python es el lenguaje de programación con más búsquedas mensuales en Google
@SamanthaRojasH,Aprobé el Curso de POO. La verdad forma como te enseñan es espectacular. Una diferencia abismal de lo que aprendí antes a esto que aprendí ahora. A seguir creciendo como backend... con #python #opportunity #growth Muchas gracias @Platzi @anncode
@machine_ia,Conoce los usos y aplicaciones de Machine Learning Lidera la construcción de modelos de Aprendizaje Automático: http://bit.ly/30dIjWo #MachineLearning #inteligenciaartificial #informatica #Programacion #Python
@Gradiant,¿Eres un crack en el desarrollo con Python? ¡Te queremos en nuestro equipo! #empleo
@jlferrete,"Espacios de nombres, módulos y paquetes en Python #wp#python"
@carnecrudaradio,"¿Era tan divertido el trabajo de los Monty Python por dentro como por fuera? Éramos muy egoístas, nos entreteníamos a nosotros mismos. No se trataba de hacer reír a la audiencia, no teníamos productores ni managers. Terry Gilliam > https://bit.ly/TerryGilliamCC1073…"
@Raspberry_Pi4,Proyecto vídeo vigilancia con Raspberry Pi y Python (vía Raspberry para torpes) #RaspberryPi
@deAvila77,Seguramente @Fabrizio_50714 sepa apreciar esta excelente entrevista al gran Terry Gilliam por @carnecrudaradio .
